,COUNTY NAME,ZIP CODES,AREA CODE(s),CITY / TOWN
0,Alameda,94501,"341 , 510",Alameda City
1,Alameda,94502,"341 , 510",Alameda City
2,Alameda,94536,"650 , 408 , 669 , 341, 925 , 510",Fremont
3,Alameda,94537,"650 , 408 , 669 , 341, 925 , 510",Fremont
4,Alameda,94538,"650 , 408 , 669 , 341, 925 , 510",Fremont
5,Alameda,94539,"650 , 408 , 669 , 341, 925 , 510",Fremont
6,Alameda,94540,"925 , 341 , 510",Hayward
7,Alameda,94541,"925 , 341 , 510",Hayward
8,Alameda,94542,"341 , 510",Hayward
9,Alameda,94543,"925 , 341 , 510",Hayward
10,Alameda,94544,"925 , 341 , 510",Hayward
11,Alameda,94545,"925 , 341 , 510",Hayward
12,Alameda,94546,"341 , 510",Castro Valley
13,Alameda,94550,925,Livermore
14,Alameda,94551,925,Livermore
15,Alameda,94552,"341 , 510",Castro Valley
16,Alameda,94555,"341 , 510",Fremont
17,Alameda,94557,"925 , 341 , 510",Hayward
18,Alameda,94560,"341 , 510",Newark
19,Alameda,94566,925,Pleasanton
20,Alameda,94568,925,Dublin
21,Alameda,94577,"341 , 510",San Leandro
22,Alameda,94578,"341 , 510",San Leandro
23,Alameda,94579,"341 , 510",San Leandro
24,Alameda,94580,"341 , 510",San Lorenzo
25,Alameda,94586,925,Sunol
26,Alameda,94587,"341 , 510",Union City
27,Alameda,94588,925,Pleasanton
28,Alameda,94601,"341 , 510",Oakland
29,Alameda,94602,"341 , 510",Oakland
30,Alameda,94603,"341 , 510",Oakland
31,Alameda,94604,"925 , 415 , 341 , 510",Oakland
32,Alameda,94605,"341 , 510",Oakland
33,Alameda,94606,"341 , 510",Oakland
34,Alameda,94607,"415 , 510 , 341",Oakland
35,Alameda,94608,"341 , 510",Emeryville
36,Alameda,94609,"341 , 510",Oakland
37,Alameda,94610,"415 , 510 , 341",Oakland
38,Alameda,94611,"341 , 510",Oakland
39,Alameda,94612,"925 , 415 , 341 , 510",Oakland
40,Alameda,94613,"341 , 510",Oakland
41,Alameda,94614,"925 , 415 , 341 , 510",Oakland
42,Alameda,94615,"925 , 415 , 341 , 510",Oakland
43,Alameda,94617,"925 , 415 , 341 , 510",Oakland
44,Alameda,94618,"341 , 510",Oakland
45,Alameda,94619,"341 , 510",Oakland
46,Alameda,94620,"925 , 415 , 341 , 510",Piedmont
47,Alameda,94621,"341 , 510",Oakland
48,Alameda,94622,"925 , 415 , 341 , 510",Oakland
49,Alameda,94623,"925 , 415 , 341 , 510",Oakland
50,Alameda,94624,"925 , 415 , 341 , 510",Oakland
51,Alameda,94649,"925 , 415 , 341 , 510",Oakland
52,Alameda,94659,"925 , 415 , 341 , 510",Oakland
53,Alameda,94660,"925 , 415 , 341 , 510",Oakland
54,Alameda,94661,"925 , 415 , 341 , 510",Oakland
55,Alameda,94662,"341 , 510",Emeryville
56,Alameda,94666,"925 , 415 , 341 , 510",Oakland
57,Alameda,94701,"341 , 510",Berkeley
58,Alameda,94702,"341 , 510",Berkeley
59,Alameda,94703,"341 , 510",Berkeley
60,Alameda,94704,"341 , 510",Berkeley
61,Alameda,94705,"341 , 510",Berkeley
62,Alameda,94706,"341 , 510",Albany
63,Alameda,94707,"341 , 510",Berkeley
64,Alameda,94708,"341 , 510",Berkeley
65,Alameda,94709,"341 , 510",Berkeley
66,Alameda,94710,"341 , 510",Berkeley
67,Alameda,94712,"341 , 510",Berkeley
68,Alameda,94720,"341 , 510",Berkeley
69,Conta Costa,94505,925,Discover Bay
70,Conta Costa,94506,925,Danville
71,Conta Costa,94507,925,Alamo
72,Conta Costa,94509,925,Antioch
73,Conta Costa,94511,925,Bethel Island
74,Conta Costa,94513,925,Brentwood
75,Conta Costa,94514,925,Byron
76,Conta Costa,94516,925,Canyon
77,Conta Costa,94517,925,Clayton
78,Conta Costa,94518,925,Concord
79,Conta Costa,94519,925,Concord
80,Conta Costa,94520,925,Concord
81,Conta Costa,94521,925,Concord
82,Conta Costa,94522,925,Concord
83,Conta Costa,94523,925,Pleasant Hill
84,Conta Costa,94524,925,Concord
85,Conta Costa,94525,"341 , 510",Crockett
86,Conta Costa,94526,925,Danville
87,Conta Costa,94527,925,Concord
88,Conta Costa,94528,925,Diablo
89,Conta Costa,94529,925,Concord
90,Conta Costa,94530,"341 , 510",El Cerrito
91,Conta Costa,94531,925,Antioch
92,Conta Costa,94547,"341 , 510",Hercules
93,Conta Costa,94548,925,Knightsen
94,Conta Costa,94549,925,Lafayette
95,Conta Costa,94553,925,Martinez
96,Conta Costa,94556,925,Moraga
97,Conta Costa,94561,925,Oakley
98,Conta Costa,94563,925,Orinda
99,Conta Costa,94564,"341 , 510",Pinole
100,Conta Costa,94565,925,Pittsburg
101,Conta Costa,94569,"341 , 510",Port Costa
102,Conta Costa,94570,925,Moraga
103,Conta Costa,94572,"341 , 510",Rodeo
104,Conta Costa,94575,925,Moraga
105,Conta Costa,94582,925,San Ramon
106,Conta Costa,94583,925,San Ramon
107,Conta Costa,94595,"341 , 510  ,925",Walnut Creek
108,Conta Costa,94596,"341 , 510  ,925",Walnut Creek
109,Conta Costa,94597,925,Walnut Creek
110,Conta Costa,94598,"341 , 510  ,925",Walnut Creek
111,Conta Costa,94801,"341 , 510",Richmond
112,Conta Costa,94802,"341 , 510",Richmond
113,Conta Costa,94803,"341 , 510",El Sobrante
114,Conta Costa,94804,"341 , 510",Richmond
115,Conta Costa,94805,"341 , 510",Richmond
116,Conta Costa,94806,"341 , 510",San Pablo
117,Conta Costa,94807,"341 , 510",Richmond
118,Conta Costa,94808,"341 , 510",Richmond
119,Conta Costa,94820,"341 , 510",El Sobrante
120,Conta Costa,94850,"341 , 510",Richmond
121,Marin,94901,"628 , 415",San Rafael
122,Marin,94903,"628 , 415",San Rafael
123,Marin,94904,415,Greenbrae
124,Marin,94912,"628 , 415",San Rafael
125,Marin,94913,"628 , 415",San Rafael
126,Marin,94914,"628 , 415",Kentfield
127,Marin,94915,"628 , 415",San Rafael
128,Marin,94920,"628 , 415",Belvedere Tiburon
129,Marin,94924,"628 , 415",Bolinas
130,Marin,94925,"628 , 415",Corte Madera
131,Marin,94929,707,Dilion Beach
132,Marin,94930,415,Fairfax
133,Marin,94933,"628 , 415",Forest Knolls
134,Marin,94937,"628 , 415",Inverness
135,Marin,94938,"628 , 415",Lagunitas
136,Marin,94939,415,Larkspur
137,Marin,94940,707,Marshall
138,Marin,94941,"628 , 415",Mill Valley
139,Marin,94942,"628 , 415",Mill Valley
140,Marin,94945,"628 , 415",Novato
141,Marin,94946,"628 , 415",Nicasio
142,Marin,94947,"628 , 415",Novato
143,Marin,94948,"628 , 415",Novato
144,Marin,94949,"628 , 415",Novato
145,Marin,94950,"628 , 415",Olema
146,Marin,94956,"628 , 415",Point Reyes Station
147,Marin,94957,415,Ross
148,Marin,94960,415,San Anselmo
149,Marin,94963,"628 , 415",San Geronimo
150,Marin,94964,"628 , 415",San Quetin
151,Marin,94965,415,Sausalito
152,Marin,94966,"628 , 415",Sausalito
153,Marin,94970,"628 , 415",Stinson Beach
154,Marin,94971,707,Tomales
155,Marin,94973,415,Woodacre
156,Marin,94974,"628 , 415",San Quetin
157,Marin,94976,415,Corte Madera
158,Marin,94977,415,Larkspur
159,Marin,94978,415,Fairfax
160,Marin,94979,415,San Anselmo
161,Marin,94998,"628 , 415",Novato
162,Napa,94503,707,American Canyon
163,Napa,94508,707,Angwin
164,Napa,94515,707,Calistoga
165,Napa,94558,707,Napa City
166,Napa,94559,707,Napa City
167,Napa,94562,707,Oakville
168,Napa,94567,707,Pope Valley
169,Napa,94573,707,Rutherford
